                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3437,                 1.0169,                 1.7108,                0.88342,                0.77656,                0.86157,                0.55709,                 1.2271,                0.96124,                 1.5328,               0.006733,               0.006733,               0.006733
                     35,                 1.3011,                0.98252,                 1.6125,                 0.8814,                0.75898,                0.85468,                0.53942,                 1.3025,                0.91236,                 1.5885,               0.006634,               0.006634,               0.006634
                     36,                 1.3242,                 1.0074,                 1.6472,                0.90755,                0.84193,                0.89657,                0.58718,                 1.2196,                0.86046,                 1.5146,               0.006535,               0.006535,               0.006535
                     37,                 1.3328,                0.98321,                 1.6249,                0.88107,                0.85789,                0.89732,                0.58245,                 1.2557,                0.85634,                 1.5315,               0.006436,               0.006436,               0.006436
                     38,                 1.2521,                 0.9514,                 1.5775,                0.91565,                0.82875,                0.90593,                0.58355,                 1.2156,                 0.8242,                 1.4835,               0.006337,               0.006337,               0.006337
                     39,                 1.2861,                0.95281,                 1.5445,                0.85576,                0.85701,                0.89338,                0.58558,                 1.1882,                0.86298,                 1.4544,               0.006238,               0.006238,               0.006238
                     40,                 1.2563,                0.94707,                 1.5634,                0.94366,                0.82286,                0.91072,                0.58106,                 1.2109,                0.82884,                 1.4764,               0.006139,               0.006139,               0.006139
                     41,                 1.2265,                0.87669,                 1.5283,                0.93086,                0.84457,                0.91045,                0.61878,                 1.1582,                0.77694,                 1.4502,                0.00604,                0.00604,                0.00604
                     42,                 1.2041,                0.87897,                 1.5308,                0.92246,                0.88753,                0.92369,                0.60172,                 1.1756,                0.74988,                 1.4443,               0.005941,               0.005941,               0.005941
                     43,                 1.2273,                0.84581,                 1.5063,                0.94064,                0.85766,                0.90943,                0.60104,                 1.1777,                0.78645,                 1.4439,               0.005842,               0.005842,               0.005842
                     44,                 1.2096,                 0.8722,                 1.5225,                0.95121,                 0.8589,                0.92479,                  0.636,                 1.1024,                0.75391,                 1.3912,               0.005743,               0.005743,               0.005743
                     45,                 1.1517,                0.82541,                 1.4712,                0.93293,                0.82798,                0.92674,                 0.6371,                 1.1171,                0.73146,                 1.3554,               0.005644,               0.005644,               0.005644
                     46,                 1.1995,                0.84366,                 1.5072,                0.95348,                0.85974,                0.93478,                0.64952,                 1.1321,                0.71622,                 1.3617,               0.005545,               0.005545,               0.005545
                     47,                 1.1735,                0.82489,                 1.4604,                0.91485,                0.72019,                0.84556,                0.58569,                 1.1465,                0.93256,                 1.4035,               0.005446,               0.005446,               0.005446
                     48,                 1.1454,                0.79774,                 1.4543,                 0.9152,                0.92694,                0.94794,                0.67598,                  1.058,                0.67204,                 1.3218,               0.005347,               0.005347,               0.005347
                     49,                 1.1535,                0.81515,                 1.4421,                0.95203,                0.78611,                 0.8933,                0.60418,                  1.164,                0.80247,                  1.402,               0.005248,               0.005248,               0.005248
                     50,                 1.1244,                0.78723,                 1.3957,                0.92099,                0.89144,                0.93703,                0.67019,                 1.0079,                0.71216,                 1.2753,               0.005149,               0.005149,               0.005149
                     51,                 1.1431,                0.79988,                 1.4189,                0.94122,                 0.9304,                0.95812,                 0.6828,                 1.0146,                0.65845,                 1.2837,                0.00505,                0.00505,                0.00505
